,Film Name, Box Office Gross 
5918,Cleopatra (1963)," $57,000,000.00 "
5919,How the West Was Won (1963)," $46,500,000.00 "
5920,Lilies of the Field (1963)," $3,000,000.00 "
5921,Tom Jones (1963)," $37,600,000.00 "
6038,Lawrence of Arabia (1962)," $70,000,000.00 "
6039,The Longest Day (1962)," $50,100,000.00 "
6040,Meredith Willson's The Music Man (1962)," $15,000,000.00 "
6041,Mutiny on the Bounty (1962)," $13,600,000.00 "
6042,To Kill a Mockingbird (1962)," $13,100,000.00 "
6164,Fanny (1961)," $4,500,000.00 "
6165,The Guns of Navarone (1961)," $28,900,000.00 "
6166,The Hustler (1961)," $7,600,000.00 "
6167,Judgment at Nuremberg (1961)," $10,000,000.00 "
6168,West Side Story (1961)," $44,100,000.00 "
6294,The Alamo (1960)," $20,000,000.00 "
6295,The Apartment (1960)," $24,600,000.00 "
6296,Elmer Gantry (1960)," $5,200,000.00 "
6297,Sons and Lovers (1960)," $1,500,000.00 "
6298,The Sundowners (1960)," $3,800,000.00 "
6418,Anatomy of a Murder (1959)," $11,000,000.00 "
6419,Ben-Hur (1959)," $146,900,000.00 "
6420,The Diary of Anne Frank (1959)," $2,300,000.00 "
6421,The Nun's Story (1959)," $12,800,000.00 "
6422,Room at the Top (1959)," $2,400,000.00 "
6538,Auntie Mame (1958),
6539,Cat on a Hot Tin Roof (1958),
6540,The Defiant Ones (1958),
6541,Gigi (1958),
6542,Separate Tables (1958),
6637,The Bridge on the River Kwai (1957),
6638,Peyton Place (1957),
6639,Sayonara (1957),
6640,12 Angry Men (1957),
6641,Witness for the Prosecution (1957),
6768,Around the World in 80 Days (1956),
6769,Friendly Persuasion (1956),
6770,Giant (1956),
6771,The King and I (1956),
6772,The Ten Commandments (1956),
6895,Love Is a Many-Splendored Thing (1955),
6896,Marty (1955),
6897,Mister Roberts (1955),
6898,Picnic (1955),
6899,The Rose Tattoo (1955),
7029,The Caine Mutiny (1954),
7030,The Country Girl (1954),
7031,On the Waterfront (1954),
7032,Seven Brides for Seven Brothers (1954),
