Year,Won?,Acting Noms,Acting Wins,Writing Noms,Writing Wins,Directing Noms,Directing Wins,Cinematography Noms,Cinematography Wins,Editing Noms,Editing Wins,Production Design Noms,Production Design Wins,Sound Noms,Sound Wins,Total Nominations,Total Wins
1974,0,2,0,1,1,1,0,1,0,1,0,2,0,2,0,10,1
1974,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0
1974,1,5,1,1,1,1,1,0,0,0,0,2,1,1,1,10,5
1974,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0
1974,0,1,0,0,0,0,0,1,1,1,1,1,0,3,1,7,3
1973,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,4,0
1973,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,4,1
1973,0,3,0,1,1,1,0,1,0,1,0,1,0,1,1,9,2
1973,1,1,0,1,1,1,1,1,0,1,1,2,2,2,1,9,6
1973,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,4,1
1972,0,2,2,1,0,1,1,1,1,1,1,1,1,2,2,9,8
1972,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
1972,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1972,1,4,1,1,1,1,0,0,0,1,0,1,0,2,0,10,2
1972,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
1971,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,0
1971,0,2,0,0,0,1,0,1,1,0,0,1,0,2,2,7,3
1971,1,2,1,1,1,1,1,1,0,1,1,0,0,1,0,7,4
1971,0,4,2,1,0,1,0,1,0,0,0,0,0,0,0,7,2
1971,0,1,0,0,0,0,0,1,0,0,0,2,2,1,0,5,2
1970,0,2,1,1,0,0,0,1,0,1,0,2,0,2,0,9,1
1970,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
1970,0,3,0,1,0,1,0,0,0,0,0,0,0,1,1,6,1
1970,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,4,1
1970,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,8,6
1969,0,3,0,1,0,0,0,1,0,0,0,2,1,2,0,9,1
1969,0,0,0,1,1,1,0,1,1,0,0,0,0,3,2,6,4
1969,0,0,0,0,0,0,0,1,0,1,0,2,1,2,2,6,3
1969,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,6,2
1969,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,3,1
1968,0,2,1,0,0,0,0,1,0,1,0,0,0,3,0,7,1
1968,0,2,1,1,1,1,0,0,0,0,0,1,0,1,1,6,3
1968,1,2,0,1,0,1,1,1,0,1,0,2,1,2,2,10,4
1968,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
1968,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,3,2
1967,0,5,1,1,0,1,0,1,1,0,0,1,0,0,0,9,2
1967,0,0,0,0,0,0,0,1,0,1,0,1,0,4,1,7,1
1967,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,6,1
1967,0,4,1,1,1,1,0,0,0,1,0,1,0,1,0,9,2
1967,1,1,1,1,1,1,0,0,0,1,1,0,0,2,1,6,4
1966,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0
1966,1,3,1,1,1,1,1,1,1,0,0,1,1,0,0,7,5
1966,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0
1966,0,2,0,0,0,0,0,1,0,1,0,1,0,2,0,7,0
1966,0,4,2,1,0,1,0,1,1,1,0,2,2,2,0,12,5
1965,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,4,3
1965,0,1,0,1,1,1,0,1,1,1,0,2,2,2,1,9,5
1965,0,3,0,1,0,0,0,1,1,0,0,2,1,0,0,7,2
1965,1,2,0,0,0,1,1,1,0,1,1,2,0,2,2,9,4
1965,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,1
1964,0,3,0,1,1,1,0,1,0,1,0,2,0,2,0,11,1
1964,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
1964,0,1,1,1,0,1,0,1,0,1,1,2,0,4,2,11,4
1964,1,3,1,1,0,1,1,1,1,1,0,2,2,2,2,11,7
1964,0,2,1,1,0,1,0,1,1,0,0,1,1,0,0,6,3
1963,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,3,1
1963,0,1,0,0,0,0,0,1,1,1,0,2,2,2,0,7,3
1963,0,0,0,1,1,0,0,1,0,1,1,2,0,2,1,7,3
1963,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1
1963,1,5,0,1,1,1,1,0,0,0,0,1,0,1,1,9,3
1962,1,2,0,1,0,1,1,1,1,1,1,1,1,2,2,9,6
1962,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,1
1962,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,5,1
1962,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,5,0
1962,0,2,1,1,1,1,0,1,0,0,0,1,1,1,0,7,3
1961,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0
1961,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,5,0
1961,0,4,0,1,0,1,0,1,1,0,0,1,1,0,0,8,2
1961,0,4,1,1,1,1,0,1,0,1,0,2,0,0,0,10,2
1961,1,2,2,1,0,1,1,1,1,1,1,2,2,2,2,10,9
1960,0,1,0,0,0,0,0,1,0,1,0,0,0,3,1,6,1
1960,1,3,0,1,1,1,1,1,0,1,1,1,1,1,0,9,4
1960,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,4,3
1960,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,6,1
1960,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0
1959,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0
1959,1,2,2,1,0,1,1,1,1,1,1,2,2,2,2,10,9
1959,0,2,1,0,0,1,0,1,1,0,0,2,1,1,0,7,3
1959,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0,7,0
1959,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,5,2
1958,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,5,0
1958,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0
1958,0,4,0,1,1,1,0,1,1,1,0,0,0,0,0,8,2
1958,1,0,0,1,1,1,1,1,1,1,1,2,2,2,2,8,8
1958,0,3,2,1,0,0,0,1,0,0,0,0,0,1,0,6,2
1957,1,2,1,1,1,1,1,1,1,1,1,0,0,1,1,7,6
1957,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,8,0
1957,0,3,2,1,0,1,0,1,0,1,0,1,1,1,1,9,4
1957,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0
1957,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0
1956,1,0,0,1,1,1,0,1,1,1,1,2,0,1,1,7,4
1956,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,5,0
1956,0,3,0,1,0,1,1,0,0,1,0,2,0,1,0,9,1
1956,0,2,1,0,0,1,0,1,0,0,0,2,2,2,2,8,5
1956,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,5,0
1955,0,1,0,0,0,0,0,1,0,0,0,2,1,3,2,7,3
1955,1,3,1,1,1,1,1,1,0,0,0,1,0,0,0,7,3
1955,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1
1955,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,5,2
1955,0,2,1,0,0,0,0,1,1,1,0,2,1,1,0,7,3
1954,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,6,0
1954,0,2,1,1,1,1,0,1,0,0,0,1,0,0,0,6,2
1954,1,5,2,1,1,1,1,1,1,1,1,1,1,1,0,11,7
1954,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,4,1
1954,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2
1953,1,5,2,1,1,1,1,1,1,1,1,1,0,2,1,12,7
1953,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,4,1
1953,0,1,0,0,0,0,0,1,0,0,0,2,2,0,0,4,2
1953,0,2,1,2,1,1,0,1,0,1,0,2,1,0,0,9,3
1953,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,5,1
1952,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,4,1
1952,0,1,1,1,0,1,0,0,0,1,1,0,0,2,2,6,4
1952,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
1952,0,2,0,0,0,1,0,0,0,1,0,2,2,0,0,6,2
1952,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,6,2
1951,1,0,0,1,1,1,0,1,1,1,0,2,2,1,1,7,5
1951,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1951,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,8,6
1951,0,2,0,0,0,0,0,1,0,1,0,2,0,1,0,7,0
1951,0,4,3,1,0,1,0,1,0,0,0,2,1,2,0,11,4
1950,1,5,1,1,1,1,1,1,0,1,0,2,1,2,1,13,5
1950,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,4,1
1950,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
1950,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2
1950,0,4,0,1,1,1,0,1,0,1,0,1,1,1,1,10,3
1949,1,3,2,1,0,1,0,0,0,1,0,0,0,0,0,6,2
1949,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,5,2
1949,0,2,1,0,0,1,0,1,0,0,0,2,2,1,1,7,4
